Brand,Model,Range(km),Long_distance_range(km),Battery_kWh,Weight(kg),Acceleration(0-100s),Efficiency(Wh/km),Seating_Capacity,Market_Segment,Fastcharge_power(kW),Towing_capacity(Kg),Cargo_volume(L),Price_per_range,Price(£)
Smart,#3 Pro,265 km,297 km,47.0 kWh,1855 kg,5.9 sec,177 Wh/km,5,B,65 kW,0 kg,385 L,€142 /km,"€38,490"
Porsche,Taycan 4S Plus,565 km,737 km,97.0 kWh,2325 kg,3.7 sec,172 Wh/km,5,F,262 kW,0 kg,491 L,€221 /km,"€126,422"
Volkswagen,ID. Buzz NWB Pure,265 km,301 km,59.0 kWh,2367 kg,10.7 sec,223 Wh/km,6,N,110 kW,1000 kg,1121 L,€189 /km,"€49,998"
Hyundai,IONIQ 5 Standard Range AWD (MY21),290 km,359 km,54.0 kWh,2015 kg,6.1 sec,186 Wh/km,5,C,140 kW,unknown,555 L,€158 /km,"€45,900"
Audi,Q8 Sportback e-tron 55 quattro,525 km,543 km,106.0 kWh,2585 kg,5.6 sec,202 Wh/km,5,E,144 kW,1800 kg,590 L,€169 /km,"€89,550"
Audi,Q4 Sportback e-tron 55 quattro,415 km,457 km,77.0 kWh,2235 kg,5.4 sec,186 Wh/km,5,C,120 kW,1200 kg,535 L,€157 /km,"€61,000"
Lotus,Emeya,520 km,665 km,98.9 kWh,2555 kg,4.2 sec,190 Wh/km,5,F,240 kW,2250 kg,543 L,€209 /km,"€106,400"
VinFast,VF 6 Plus,310 km,318 km,59.6 kWh,2113 kg,8.9 sec,192 Wh/km,5,D,90 kW,0 kg,unknown,€128 /km,"€38,990"
Tesla,Model X Long Range,435 km,434 km,95.0 kWh,2533 kg,4.9 sec,218 Wh/km,7,F,100 kW,2250 kg,unknown,€216 /km,"€91,000"
Volkswagen,ID.5 Pro,430 km,454 km,77.0 kWh,2118 kg,10.4 sec,179 Wh/km,5,C,125 kW,1000 kg,549 L,€124 /km,"€47,935"
Ford,Mustang Mach-E SR RWD (MY23.75),380 km,404 km,72.6 kWh,2179 kg,7.3 sec,191 Wh/km,5,D,100 kW,750 kg,619 L,€141 /km,"€55,800"
Voyah,Courage 80 kWh RWD,395 km,434 km,77.3 kWh,2174 kg,6.8 sec,196 Wh/km,5,D,110 kW,1700 kg,527 L,€114 /km,N/A
Genesis,GV70 Electrified (MY25),385 km,477 km,80.0 kWh,2335 kg,4.4 sec,208 Wh/km,5,D,205 kW,1800 kg,528 L,€190 /km,"€70,230"
Peugeot,Partner Tepee Electric,100 km,105 km,20.5 kWh,1679 kg,19.5 sec,205 Wh/km,5,N,30 kW,0 kg,544 L,€305 /km,N/A
Audi,SQ8 SUV e-tron,455 km,463 km,106.0 kWh,2725 kg,4.5 sec,233 Wh/km,5,E,144 kW,1800 kg,631 L,€228 /km,"€98,100"
Zeekr,X Privilege AWD (MY25),350 km,394 km,65.0 kWh,2035 kg,3.8 sec,186 Wh/km,5,B,114 kW,1600 kg,362 L,€139 /km,N/A
Renault,Zoe R90,255 km,182 km,41.0 kWh,1548 kg,13.2 sec,161 Wh/km,5,B,0 kW,0 kg,338 L,€131 /km,"€34,100"
Mercedes-Benz,EQE SUV 350 4MATIC (MY23),425 km,453 km,89.0 kWh,2580 kg,6.6 sec,209 Wh/km,5,E,120 kW,1800 kg,520 L,€230 /km,"€89,548"
Mercedes-Benz,EQE 350 4MATIC (MY24),515 km,570 km,90.6 kWh,2475 kg,6.3 sec,176 Wh/km,5,E,141 kW,1700 kg,430 L,€148 /km,"€74,149"
Genesis,GV60 Performance (MY25),395 km,493 km,80.0 kWh,2250 kg,4.0 sec,203 Wh/km,5,C,205 kW,1600 kg,432 L,€197 /km,N/A
Mercedes-Benz,eVito Tourer Long 90 kWh,310 km,283 km,90.0 kWh,2530 kg,12.0 sec,290 Wh/km,9,N,96 kW,0 kg,990 L,€249 /km,"€64,248"
Fisker,Ocean Ultra,500 km,537 km,106.5 kWh,2526 kg,4.2 sec,213 Wh/km,5,D,135 kW,1820 kg,476 L,€118 /km,"€58,900"
Porsche,Taycan 4 Cross Turismo,510 km,655 km,97.0 kWh,2355 kg,4.7 sec,190 Wh/km,5,F,262 kW,0 kg,530 L,€225 /km,"€113,100"
Volvo,EC40 Single Motor (MY26),360 km,399 km,67.0 kWh,2057 kg,7.3 sec,186 Wh/km,5,C,110 kW,1500 kg,435 L,€150 /km,"€54,390"
Porsche,Taycan 4S Cross Turismo,510 km,655 km,97.0 kWh,2355 kg,3.8 sec,190 Wh/km,5,F,262 kW,0 kg,530 L,€245 /km,"€126,400"
Peugeot,e-Rifter M 50 kWh,235 km,246 km,50.0 kWh,1830 kg,11.7 sec,213 Wh/km,5,N,80 kW,750 kg,775 L,€166 /km,"€38,440"
Mercedes-Benz,EQT 200 Long,220 km,221 km,45.0 kWh,1944 kg,13.3 sec,205 Wh/km,7,N,50 kW,1500 kg,828 L,€213 /km,"€41,613"
Toyota,Proace Verso M 50 kWh,180 km,191 km,46.3 kWh,2027 kg,12.1 sec,257 Wh/km,9,N,78 kW,1000 kg,603 L,€313 /km,"€58,040"
Audi,e-tron Sportback 55 quattro,380 km,399 km,86.5 kWh,2555 kg,5.7 sec,228 Wh/km,5,E,146 kW,1800 kg,615 L,€217 /km,"€81,639"
Renault,Zoe Q90,245 km,224 km,41.0 kWh,1548 kg,13.5 sec,167 Wh/km,5,B,33 kW,0 kg,338 L,€121 /km,N/A
Ford,e-Tourneo Custom L1 160 kW,235 km,233 km,64.0 kWh,2557 kg,9.0 sec,272 Wh/km,8,N,70 kW,2000 kg,672 L,€291 /km,"€66,819"
Ford,Mustang Mach-E GT (MY23),425 km,397 km,91.0 kWh,2348 kg,4.4 sec,214 Wh/km,5,D,86 kW,750 kg,619 L,€197 /km,"€86,200"
Lexus,RZ 550e F SPORT (MY26),390 km,425 km,72.0 kWh,2135 kg,4.4 sec,185 Wh/km,5,D,110 kW,unknown,522 L,€198 /km,"€78,700"
Smart,#1 Pure+,335 km,364 km,62.0 kWh,1863 kg,6.7 sec,185 Wh/km,5,B,100 kW,1600 kg,338 L,€115 /km,"€39,990"
Abarth,600e Turismo,280 km,293 km,50.8 kWh,1700 kg,6.2 sec,181 Wh/km,5,B,79 kW,0 kg,360 L,€159 /km,"€44,990"
Skywell,BE11 Long Range,385 km,336 km,81.0 kWh,2005 kg,9.6 sec,210 Wh/km,5,D,50 kW,unknown,467 L,€119 /km,N/A
Volkswagen,e-Transporter Kombi L2 210 kW 64 kWh,250 km,250 km,63.8 kWh,2348 kg,7.4 sec,255 Wh/km,9,N,75 kW,2000 kg,1000 L,€272 /km,"€67,913"
DS Automobiles,DS 3 Crossback E-Tense,255 km,278 km,46.3 kWh,1598 kg,8.7 sec,182 Wh/km,5,B,78 kW,0 kg,350 L,€150 /km,"€38,690"
Mercedes-Benz,EQS SUV 500 4MATIC,530 km,543 km,118.0 kWh,2840 kg,5.3 sec,223 Wh/km,7,F,160 kW,1800 kg,645 L,€257 /km,"€124,545"
Mercedes-Benz,EQE 300 (MY24),525 km,566 km,89.0 kWh,2405 kg,7.3 sec,170 Wh/km,5,E,120 kW,750 kg,430 L,€131 /km,"€67,187"
Polestar,2 Long Range Performance (MY25),450 km,507 km,79.0 kWh,2180 kg,4.2 sec,176 Wh/km,5,D,125 kW,1500 kg,448 L,€142 /km,"€63,490"
Genesis,GV60 Pure (MY25),425 km,522 km,80.0 kWh,2050 kg,7.8 sec,188 Wh/km,5,C,205 kW,1600 kg,432 L,€146 /km,N/A
Sono,Sion,260 km,261 km,47.0 kWh,1730 kg,9.0 sec,181 Wh/km,5,C,60 kW,750 kg,650 L,€116 /km,"€29,900"
Opel,Combo Electric 50 kWh,235 km,246 km,50.0 kWh,1811 kg,11.3 sec,213 Wh/km,5,N,80 kW,750 kg,775 L,€165 /km,"€38,600"
Nissan,LEAF 24 kWh (MY11-13),125 km,138 km,22.0 kWh,1600 kg,11.9 sec,176 Wh/km,5,C,36 kW,unknown,330 L,€243 /km,"€33,990"
Citroën,C-Zero,85 km,101 km,14.5 kWh,1140 kg,15.9 sec,171 Wh/km,4,A,30 kW,0 kg,166 L,€328 /km,"€29,393"
Seres,3,255 km,231 km,50.0 kWh,1765 kg,8.9 sec,196 Wh/km,5,C,50 kW,0 kg,318 L,€149 /km,N/A
Smart,#1 Pure,250 km,280 km,47.0 kWh,1855 kg,6.7 sec,188 Wh/km,5,B,65 kW,0 kg,338 L,€135 /km,"€34,990"
BMW,i5 xDrive40 Sedan (MY25),465 km,535 km,81.2 kWh,2345 kg,5.4 sec,175 Wh/km,5,E,136 kW,2000 kg,490 L,€169 /km,"€75,600"
Ford,Mustang Mach-E Rally (MY25),415 km,420 km,91.0 kWh,2354 kg,3.9 sec,219 Wh/km,5,D,115 kW,750 kg,619 L,€184 /km,"€81,000"
Mercedes-Benz,EQE 500 4MATIC (MY25),505 km,553 km,90.6 kWh,2490 kg,4.4 sec,179 Wh/km,5,E,141 kW,1700 kg,430 L,€176 /km,"€84,764"
Tesla,Model S 70,340 km,360 km,66.5 kWh,2074 kg,5.8 sec,196 Wh/km,5,F,95 kW,unknown,895 L,€231 /km,"€78,000"
JAC,iEV7s,225 km,200 km,39.0 kWh,1535 kg,12.0 sec,173 Wh/km,5,B,30 kW,unknown,250 L,€133 /km,N/A
Audi,Q4 e-tron 45 quattro,385 km,418 km,76.6 kWh,2210 kg,6.9 sec,199 Wh/km,5,C,115 kW,1200 kg,520 L,€150 /km,"€53,990"
Porsche,Taycan 4 Cross Turismo,440 km,557 km,83.7 kWh,2320 kg,5.1 sec,190 Wh/km,5,F,216 kW,0 kg,530 L,€238 /km,"€103,254"
Tesla,Model X P90D,375 km,366 km,85.5 kWh,2514 kg,4.0 sec,228 Wh/km,7,F,90 kW,unknown,unknown,€353 /km,"€131,300"
Mercedes-Benz,EQS 580 4MATIC,590 km,655 km,107.8 kWh,2620 kg,4.3 sec,183 Wh/km,5,F,173 kW,750 kg,610 L,€267 /km,"€141,705"
Volkswagen,ID.5 GTX,405 km,447 km,77.0 kWh,2242 kg,6.3 sec,190 Wh/km,5,C,115 kW,1200 kg,549 L,€145 /km,"€53,615"
Kia,EV9 76.1 kWh RWD,350 km,414 km,73.0 kWh,2387 kg,8.5 sec,209 Wh/km,7,F,160 kW,900 kg,423 L,€174 /km,"€61,990"
Volvo,EX40 Twin Motor Performance (MY26),385 km,419 km,79.0 kWh,2170 kg,4.6 sec,205 Wh/km,5,C,125 kW,1800 kg,441 L,€163 /km,"€62,890"
Mercedes-Benz,EQE SUV 350+ (MY25),475 km,503 km,96.0 kWh,2495 kg,6.4 sec,202 Wh/km,5,E,141 kW,750 kg,520 L,€185 /km,"€86,811"
Smart,EQ fortwo coupe,100 km,71 km,16.7 kWh,1085 kg,11.5 sec,167 Wh/km,2,A,0 kW,0 kg,260 L,€221 /km,"€21,940"
Ford,Mustang Mach-E SR AWD (MY21),335 km,337 km,68.0 kWh,2138 kg,6.3 sec,203 Wh/km,5,D,78 kW,750 kg,619 L,€171 /km,"€54,750"
NIO,EL6 Standard Range,365 km,388 km,73.5 kWh,2378 kg,4.5 sec,201 Wh/km,5,E,110 kW,1200 kg,579 L,€183 /km,"€65,500"
BMW,i5 M60 xDrive Touring,415 km,479 km,81.2 kWh,2425 kg,3.9 sec,196 Wh/km,5,E,136 kW,2000 kg,570 L,€263 /km,"€101,500"
Peugeot,e-5008 73 kWh Dual Motor,355 km,374 km,73.0 kWh,2406 kg,6.5 sec,206 Wh/km,7,D,90 kW,1000 kg,348 L,€178 /km,"€62,500"
Mercedes-Benz,EQE 350 4MATIC (MY25),515 km,564 km,90.6 kWh,2475 kg,5.9 sec,176 Wh/km,5,E,141 kW,1700 kg,430 L,€150 /km,"€74,149"
Cadillac,LYRIQ-V (MY26),400 km,392 km,91.0 kWh,2745 kg,3.3 sec,228 Wh/km,5,E,100 kW,1587 kg,588 L,€249 /km,"€99,640"
Porsche,Taycan 4S Cross Turismo,420 km,531 km,83.7 kWh,2320 kg,4.1 sec,199 Wh/km,5,F,216 kW,0 kg,530 L,€269 /km,"€114,222"
Škoda,Enyaq Coupe iV 80 (MY23),445 km,473 km,77.0 kWh,2119 kg,8.7 sec,173 Wh/km,5,C,125 kW,1000 kg,575 L,€118 /km,"€54,400"
Volkswagen,ID. Buzz NWB GTX,360 km,395 km,79.0 kWh,2629 kg,6.5 sec,219 Wh/km,6,N,135 kW,1800 kg,1121 L,€204 /km,"€73,102"
Tesla,Model X Performance,440 km,438 km,95.0 kWh,2572 kg,3.6 sec,216 Wh/km,7,F,100 kW,2250 kg,unknown,€243 /km,"€107,600"
Ford,Mustang Mach-E GT (MY21),410 km,388 km,88.0 kWh,2348 kg,4.4 sec,215 Wh/km,5,D,86 kW,750 kg,619 L,€184 /km,"€72,900"
Nissan,Ariya e-4ORCE 87kWh - 290 kW,405 km,400 km,87.0 kWh,2293 kg,5.1 sec,215 Wh/km,5,C,110 kW,1500 kg,415 L,€168 /km,"€71,490"
NIO,ET5 Touring Standard Range,400 km,434 km,73.5 kWh,2265 kg,4.0 sec,184 Wh/km,5,E,110 kW,1400 kg,450 L,€154 /km,"€59,500"
Volvo,EX90 Single Motor (MY24-25),485 km,524 km,100.0 kWh,2582 kg,8.4 sec,206 Wh/km,7,F,140 kW,1200 kg,703 L,€180 /km,"€83,700"
GWM,ORA 03 GT,325 km,300 km,59.3 kWh,1655 kg,8.2 sec,182 Wh/km,5,C,55 kW,0 kg,228 L,€115 /km,"€37,490"
Citroën,ë-Berlingo XL 50 kWh,230 km,242 km,50.0 kWh,1881 kg,11.7 sec,217 Wh/km,7,N,80 kW,750 kg,1050 L,€169 /km,"€37,940"
Opel,Mokka Electric GSE,280 km,294 km,50.8 kWh,1672 kg,5.9 sec,181 Wh/km,5,B,85 kW,0 kg,310 L,€157 /km,"€47,300"
Mercedes-Benz,EQB 250+,410 km,401 km,70.5 kWh,2115 kg,8.9 sec,172 Wh/km,7,C,90 kW,0 kg,495 L,€133 /km,"€53,978"
Elaris,BEO 86 kWh,390 km,357 km,81.0 kWh,1955 kg,9.5 sec,208 Wh/km,5,D,65 kW,unknown,467 L,€136 /km,"€53,090"
Ford,Mustang Mach-E ER AWD (MY25),435 km,441 km,88.0 kWh,2245 kg,4.8 sec,202 Wh/km,5,D,105 kW,1500 kg,619 L,€158 /km,"€66,600"
DS Automobiles,DS 3 Crossback E-Tense,265 km,288 km,46.3 kWh,1598 kg,8.7 sec,175 Wh/km,5,B,78 kW,0 kg,350 L,€149 /km,"€39,440"
Mercedes-Benz,EQE 350 4MATIC (MY22-23),505 km,549 km,90.6 kWh,2465 kg,6.3 sec,179 Wh/km,5,E,141 kW,750 kg,430 L,€158 /km,"€73,363"
Toyota,Proace City Verso L1 50 kWh,235 km,246 km,50.0 kWh,1811 kg,11.7 sec,213 Wh/km,5,N,80 kW,750 kg,775 L,€167 /km,"€40,960"
Audi,Q6 Sportback e-tron quattro,500 km,595 km,94.9 kWh,2400 kg,5.9 sec,190 Wh/km,5,D,200 kW,2400 kg,575 L,€160 /km,"€77,100"
Audi,SQ6 Sportback e-tron,495 km,587 km,94.9 kWh,2425 kg,4.3 sec,192 Wh/km,5,D,200 kW,2400 kg,575 L,€207 /km,"€96,200"
Peugeot,e-Expert Combi Long 75 kWh,265 km,252 km,69.0 kWh,2161 kg,14.3 sec,260 Wh/km,9,N,79 kW,1000 kg,989 L,€223 /km,"€58,730"
Mercedes-Benz,EQS 450 4MATIC,605 km,672 km,107.8 kWh,2615 kg,5.6 sec,178 Wh/km,5,F,173 kW,750 kg,610 L,€201 /km,"€113,359"
Genesis,GV70 Electrified Sport (MY22-24),350 km,432 km,74.0 kWh,2310 kg,4.2 sec,211 Wh/km,5,D,190 kW,1800 kg,528 L,€203 /km,"€67,300"
Mercedes-Benz,EQE SUV AMG 43 4MATIC (MY23-24),425 km,460 km,90.6 kWh,2600 kg,4.3 sec,213 Wh/km,5,E,141 kW,1800 kg,520 L,€301 /km,"€124,920"
Volvo,EX40 Twin Motor (MY26),385 km,419 km,79.0 kWh,2170 kg,4.8 sec,205 Wh/km,5,C,125 kW,1800 kg,441 L,€151 /km,"€59,590"
Volkswagen,ID.4 Pro 4MOTION,405 km,440 km,77.0 kWh,2221 kg,6.9 sec,190 Wh/km,5,C,115 kW,1200 kg,543 L,€121 /km,"€49,020"
Porsche,Taycan,420 km,532 km,71.0 kWh,2125 kg,5.4 sec,169 Wh/km,5,F,183 kW,0 kg,491 L,€225 /km,"€93,139"
Mercedes-Benz,EQS 450 4MATIC,610 km,677 km,108.4 kWh,2630 kg,5.6 sec,178 Wh/km,5,F,173 kW,750 kg,620 L,€189 /km,"€113,359"
Škoda,Enyaq Coupe 85x (MY24),455 km,503 km,77.0 kWh,2230 kg,6.6 sec,169 Wh/km,5,C,120 kW,1200 kg,570 L,€122 /km,"€53,400"
Porsche,Taycan Sport Turismo,460 km,568 km,82.3 kWh,2190 kg,4.8 sec,179 Wh/km,5,F,195 kW,0 kg,530 L,€225 /km,"€102,400"
BMW,i5 M60 xDrive Sedan (MY25),430 km,488 km,81.2 kWh,2370 kg,3.8 sec,189 Wh/km,5,E,136 kW,2000 kg,490 L,€249 /km,"€99,500"
Mercedes-Benz,EQE AMG 53 4MATIC+ (MY25),450 km,491 km,90.6 kWh,2540 kg,3.5 sec,201 Wh/km,5,E,141 kW,1700 kg,430 L,€268 /km,"€110,706"
Jaguar,I-Pace EV320,380 km,354 km,84.7 kWh,2244 kg,6.4 sec,223 Wh/km,5,D,85 kW,750 kg,505 L,€186 /km,"€75,351"
Mercedes-Benz,EQS SUV 450+,500 km,535 km,108.4 kWh,2695 kg,6.7 sec,217 Wh/km,7,F,173 kW,750 kg,645 L,€236 /km,"€110,801"
Audi,Q8 Sportback e-tron 50 quattro,445 km,472 km,89.0 kWh,2585 kg,6.0 sec,200 Wh/km,5,E,146 kW,1800 kg,590 L,€177 /km,"€78,150"
Porsche,Taycan 4 Plus,565 km,737 km,97.0 kWh,2325 kg,4.6 sec,172 Wh/km,5,F,262 kW,0 kg,491 L,€202 /km,"€111,924"
BMW,i5 xDrive40 Touring (MY25),450 km,512 km,81.2 kWh,2395 kg,5.5 sec,180 Wh/km,5,E,136 kW,2000 kg,570 L,€179 /km,"€77,600"
Volvo,EC40 Twin Motor (MY26),400 km,443 km,79.0 kWh,2185 kg,4.8 sec,198 Wh/km,5,C,125 kW,1800 kg,435 L,€150 /km,"€61,290"
Mercedes-Benz,EQE SUV 350 4MATIC (MY25),435 km,468 km,90.6 kWh,2565 kg,6.0 sec,208 Wh/km,5,E,141 kW,1800 kg,520 L,€210 /km,"€89,548"
Smart,ForFour Electric Drive,95 km,66 km,16.7 kWh,1200 kg,12.7 sec,176 Wh/km,4,A,0 kW,0 kg,185 L,€232 /km,"€22,600"
Mercedes-Benz,EQE SUV AMG 53 4MATIC+ (MY23-24),420 km,453 km,90.6 kWh,2690 kg,3.5 sec,216 Wh/km,5,E,141 kW,1800 kg,520 L,€335 /km,"€139,438"
Citroën,ë-Berlingo Multispace,100 km,105 km,20.5 kWh,1679 kg,19.5 sec,205 Wh/km,5,N,30 kW,unknown,1350 L,€317 /km,N/A
Lotus,Eletre S,480 km,593 km,109.0 kWh,2595 kg,4.5 sec,227 Wh/km,5,F,259 kW,2250 kg,657 L,€255 /km,"€121,990"
Porsche,Taycan Turbo,535 km,692 km,97.0 kWh,2365 kg,2.7 sec,181 Wh/km,5,F,262 kW,0 kg,450 L,€320 /km,"€175,600"
Tesla,Model X Ludicrous Performance,420 km,413 km,95.0 kWh,2572 kg,3.0 sec,226 Wh/km,7,F,100 kW,2250 kg,unknown,€274 /km,"€112,700"
Mercedes-Benz,EQS SUV 580 4MATIC,485 km,521 km,108.4 kWh,2810 kg,4.6 sec,224 Wh/km,7,F,173 kW,1800 kg,645 L,€323 /km,"€135,434"
Mercedes-Benz,EQS 500 4MATIC,590 km,655 km,107.8 kWh,2615 kg,4.8 sec,183 Wh/km,5,F,173 kW,750 kg,610 L,€231 /km,"€125,378"
ORA,Funky Cat 48 kWh,260 km,247 km,45.4 kWh,1615 kg,8.3 sec,175 Wh/km,5,C,45 kW,0 kg,228 L,€146 /km,"€38,990"
Škoda,Enyaq Coupe 85x (MY25),460 km,511 km,77.0 kWh,2234 kg,6.7 sec,167 Wh/km,5,C,120 kW,1200 kg,570 L,€119 /km,"€53,400"
Mercedes-Benz,EQE AMG 43 4MATIC (MY22-23),455 km,491 km,90.6 kWh,2525 kg,4.2 sec,199 Wh/km,5,E,141 kW,750 kg,430 L,€236 /km,"€103,827"
Ford,Mustang Mach-E ER RWD (MY22),480 km,448 km,91.0 kWh,2160 kg,7.0 sec,190 Wh/km,5,D,86 kW,1000 kg,619 L,€135 /km,"€62,950"
Škoda,Enyaq 50 (MY24),310 km,351 km,52.0 kWh,1976 kg,9.1 sec,168 Wh/km,5,C,90 kW,1000 kg,585 L,€138 /km,N/A
Toyota,Proace Verso M 75 kWh,265 km,252 km,69.0 kWh,2211 kg,13.3 sec,260 Wh/km,9,N,79 kW,1000 kg,603 L,€214 /km,N/A
Mercedes-Benz,EQE SUV 500 4MATIC (MY25),455 km,482 km,96.0 kWh,2615 kg,4.7 sec,211 Wh/km,5,E,141 kW,1800 kg,520 L,€222 /km,"€99,841"
Polestar,3 Performance (MY26),460 km,539 km,102.0 kWh,2600 kg,3.9 sec,222 Wh/km,5,E,200 kW,2200 kg,508 L,€230 /km,N/A
Ford,Mustang Mach-E SR RWD (MY23),375 km,375 km,70.0 kWh,2044 kg,6.9 sec,187 Wh/km,5,D,78 kW,750 kg,619 L,€156 /km,"€62,900"
Mercedes-Benz,EQE AMG 43 4MATIC (MY23),450 km,491 km,90.6 kWh,2535 kg,4.2 sec,201 Wh/km,5,E,141 kW,750 kg,430 L,€240 /km,"€104,756"
Lotus,Emeya R,465 km,586 km,98.9 kWh,2650 kg,2.8 sec,213 Wh/km,5,F,240 kW,1225 kg,543 L,€328 /km,"€150,990"
Audi,Q6 Sportback e-tron,410 km,485 km,75.8 kWh,2200 kg,7.0 sec,185 Wh/km,5,D,150 kW,2000 kg,575 L,€167 /km,"€65,900"
Lotus,Emeya 900,465 km,586 km,98.9 kWh,2650 kg,2.8 sec,213 Wh/km,5,F,240 kW,1225 kg,543 L,€320 /km,"€145,990"
Volvo,XC40 Recharge Twin Pure Electric (MY22),335 km,348 km,75.0 kWh,2188 kg,4.9 sec,224 Wh/km,5,C,108 kW,1800 kg,450 L,€172 /km,"€59,250"
BYD,DOLPHIN 44.9 kWh Boost (MY24),260 km,249 km,44.9 kWh,1700 kg,8.0 sec,173 Wh/km,5,C,50 kW,0 kg,345 L,€124 /km,N/A
Smart,#1 Pulse,325 km,357 km,62.0 kWh,1975 kg,4.5 sec,191 Wh/km,5,B,100 kW,1600 kg,328 L,€137 /km,"€46,490"
Citroën,ë-C4 54 kWh,330 km,355 km,50.8 kWh,1636 kg,9.2 sec,154 Wh/km,5,C,78 kW,0 kg,380 L,€118 /km,"€35,925"
Maserati,GranCabrio Folgore,395 km,489 km,83.0 kWh,2415 kg,2.8 sec,210 Wh/km,4,F,190 kW,unknown,151 L,€530 /km,"€206,713"
Peugeot,e-Traveller L3 75 kWh,265 km,252 km,69.0 kWh,2240 kg,14.2 sec,260 Wh/km,9,N,79 kW,1000 kg,989 L,€225 /km,"€53,230"
Lancia,Ypsilon 54 kWh HF (MY25),305 km,327 km,50.8 kWh,1631 kg,5.6 sec,167 Wh/km,5,B,85 kW,0 kg,309 L,€134 /km,N/A
CUPRA,Born 170 kW - 58 kWh,345 km,371 km,58.0 kWh,1824 kg,6.6 sec,168 Wh/km,5,C,82 kW,0 kg,385 L,€116 /km,"€40,750"
Mercedes-Benz,EQS AMG 53 4MATIC+,535 km,590 km,108.4 kWh,2700 kg,3.4 sec,203 Wh/km,5,F,173 kW,750 kg,620 L,€321 /km,"€155,009"
NIO,EL8 Standard Range,360 km,388 km,73.5 kWh,2613 kg,4.1 sec,204 Wh/km,6,F,110 kW,2000 kg,265 L,€258 /km,"€94,900"
Audi,e-tron Sportback 50 quattro,295 km,315 km,64.7 kWh,2445 kg,6.8 sec,219 Wh/km,5,E,114 kW,1800 kg,615 L,€245 /km,"€71,350"
NIO,EL7 Standard Range,355 km,376 km,73.5 kWh,2421 kg,3.9 sec,207 Wh/km,5,F,110 kW,2000 kg,570 L,€246 /km,"€85,900"
Ford,Mustang Mach-E GT (MY22),425 km,397 km,91.0 kWh,2348 kg,4.4 sec,214 Wh/km,5,D,86 kW,750 kg,619 L,€191 /km,"€77,200"
Fiat,500e Cabrio 24 kWh,135 km,150 km,21.3 kWh,1281 kg,9.0 sec,158 Wh/km,4,B,40 kW,0 kg,185 L,€248 /km,"€35,490"
Porsche,Taycan 4S,415 km,525 km,71.0 kWh,2215 kg,4.0 sec,171 Wh/km,5,F,183 kW,0 kg,491 L,€273 /km,"€114,559"
Porsche,Taycan Plus Sport Turismo,530 km,684 km,97.0 kWh,2270 kg,4.8 sec,183 Wh/km,5,F,262 kW,0 kg,530 L,€206 /km,"€108,124"
Porsche,Taycan GTS,535 km,692 km,97.0 kWh,2360 kg,3.3 sec,181 Wh/km,5,F,262 kW,0 kg,450 L,€272 /km,"€147,700"
Nissan,Townstar EV Passenger L2,220 km,218 km,45.0 kWh,1992 kg,13.3 sec,205 Wh/km,7,N,50 kW,1500 kg,819 L,€195 /km,N/A
Volvo,EX90 Single Motor (MY26),425 km,501 km,88.0 kWh,2556 kg,6.8 sec,207 Wh/km,7,F,170 kW,1500 kg,703 L,€201 /km,"€85,990"
Lucid,Air Touring (MY23-24),560 km,645 km,92.0 kWh,2337 kg,3.6 sec,164 Wh/km,5,F,160 kW,0 kg,910 L,€179 /km,"€99,000"
Toyota,Proace Verso L 50 kWh,180 km,191 km,46.3 kWh,1989 kg,12.1 sec,257 Wh/km,8,N,78 kW,1000 kg,989 L,€304 /km,"€59,385"
Mercedes-Benz,EQE 350 (MY22-23),510 km,554 km,89.0 kWh,2385 kg,6.4 sec,175 Wh/km,5,E,120 kW,750 kg,430 L,€158 /km,"€70,210"
ORA,Funky Cat 63 kWh,340 km,313 km,59.3 kWh,1615 kg,8.2 sec,174 Wh/km,5,C,55 kW,0 kg,228 L,€123 /km,"€44,490"
Mercedes-Benz,EQE AMG 53 4MATIC+ (MY23),450 km,491 km,90.6 kWh,2540 kg,3.5 sec,201 Wh/km,5,E,141 kW,750 kg,430 L,€275 /km,"€110,706"
Porsche,Taycan GTS Sport Turismo,505 km,655 km,97.0 kWh,2385 kg,3.3 sec,192 Wh/km,5,F,262 kW,0 kg,489 L,€290 /km,"€148,600"
Genesis,GV60 Sport (MY25),410 km,513 km,80.0 kWh,2200 kg,5.5 sec,195 Wh/km,5,C,205 kW,1600 kg,432 L,€164 /km,N/A
Genesis,G80 Electrified (MY25),450 km,506 km,90.0 kWh,2900 kg,5.1 sec,200 Wh/km,5,F,160 kW,0 kg,354 L,€181 /km,"€76,180"
Volkswagen,e-Transporter Kombi L1 100 kW 64 kWh,255 km,254 km,63.8 kWh,2302 kg,12.8 sec,250 Wh/km,9,N,75 kW,2000 kg,800 L,€243 /km,"€62,719"
Tesla,Model X Standard Range,355 km,346 km,72.5 kWh,2427 kg,4.8 sec,204 Wh/km,7,F,80 kW,2250 kg,unknown,€252 /km,"€91,700"
Peugeot,e-Rifter Standard 50 kWh,205 km,217 km,46.3 kWh,1765 kg,11.7 sec,226 Wh/km,7,N,78 kW,750 kg,571 L,€193 /km,"€41,240"
Opel,Vivaro-e Combi L 75 kWh,265 km,252 km,69.0 kWh,2161 kg,13.3 sec,260 Wh/km,9,N,79 kW,1000 kg,912 L,€220 /km,"€57,775"
